100 120
245.319983311872022113675 245.319983311872022113675 245.319983311872022113675
245.39159894940283379583 245.39159894940283379583 245.39159894940283379583
245.465765634673687145551 245.465765634673687145551 245.465765634673687145551
245.54261270453761767385 245.54261270453761767385 245.54261270453761767385
245.622277556554081456852 245.622277556554081456852 245.622277556554081456852
245.704906188801487587625 245.704906188801487587625 245.704906188801487587625
245.79065376836189216192 245.79065376836189216192 245.79065376836189216192
245.879685226964454614063 245.879685226964454614063 245.879685226964454614063
245.972175881102799621658 245.972175881102799621658 245.972175881102799621658
246.068312072396651046802 246.068312072396651046802 246.068312072396651046802
246.168291821941124908335 246.168291821941124908335 246.168291821941124908335
246.272325489748936888645 246.272325489748936888645 246.272325489748936888645
246.380636426974092501041 246.380636426974092501041 246.380636426974092501041
246.493461604197648284753 246.493461604197648284753 246.493461604197648284753
246.611052193397256360186 246.611052193397256360186 246.611052193397256360186
246.73367407398217210357 246.73367407398217210357 246.73367407398217210357
246.861608224041333414789 246.861608224041333414789 246.861608224041333414789
246.995150946223816390557 246.995150946223816390557 246.995150946223816390557
247.134613862822902774496 247.134613862822902774496 247.134613862822902774496
247.280323595916627255065 247.280323595916627255065 247.280323595916627255065
247.432621024930853081969 247.432621024930853081969 247.432621024930853081969
247.59185998467322065153 247.59185998467322065153 247.59185998467322065153
247.758405230541882247053 247.758405230541882247053 247.758405230541882247053
247.932629452908912526254 247.932629452908912526254 247.932629452908912526254
248.114909068263898461737 248.114909068263898461737 248.114909068263898461737
248.270483518881462714489 248.270483518881462714489 248.270483518881462714489
248.32100107919359288644 248.32100107919359288644 248.32100107919359288644
248.373832760525544927077 248.373832760525544927077 248.373832760525544927077
248.429057374895023713179 248.429057374895023713179 248.429057374895023713179
248.486740966429181298736 248.486740966429181298736 248.486740966429181298736
248.546931316678012535704 248.546931316678012535704 248.546931316678012535704
248.609651058801546241739 248.609651058801546241739 248.609651058801546241739
248.674889164319239398537 248.674889164319239398537 248.674889164319239398537
248.74259057694479224665 248.74259057694479224665 248.74259057694479224665
248.812643814182763435383 248.812643814182763435383 248.812643814182763435383
248.884866458603909222802 248.884866458603909222802 248.884866458603909222802
248.958988642363436838423 248.958988642363436838423 248.958988642363436838423
249.034634919850162759758 249.034634919850162759758 249.034634919850162759758
249.111305352846216010221 249.111305352846216010221 249.111305352846216010221
249.18835721801823979149 249.18835721801823979149 249.18835721801823979149
249.264989478151079538293 249.264989478151079538293 249.264989478151079538293
249.340232974629145701329 249.340232974629145701329 249.340232974629145701329
249.41295005776413518106 249.41295005776413518106 249.41295005776413518106
249.481847831336665421986 249.481847831336665421986 249.481847831336665421986
249.545509011557527401237 249.545509011557527401237 249.545509011557527401237
249.602443218824646464782 249.602443218824646464782 249.602443218824646464782
249.651159066631805671932 249.651159066631805671932 249.651159066631805671932
249.690253722618024312396 249.690253722618024312396 249.690253722618024312396
249.718512222457832194777 249.718512222457832194777 249.718512222457832194777
249.735004784841208902435 249.735004784841208902435 249.735004784841208902435
249.739168133031824936552 249.739168133031824936552 249.739168133031824936552
249.73085762417386490597 249.73085762417386490597 249.73085762417386490597
249.71036099431250931957 249.71036099431250931957 249.71036099431250931957
249.678371162269627347996 249.678371162269627347996 249.678371162269627347996
249.635923089739321767411 249.635923089739321767411 249.635923089739321767411
249.584305552687226281705 249.584305552687226281705 249.584305552687226281705
249.524961662395924122393 249.524961662395924122393 249.524961662395924122393
249.459391673702413072533 249.459391673702413072533 249.459391673702413072533
249.389068612172138728056 249.389068612172138728056 249.389068612172138728056
249.315372952331102851531 249.315372952331102851531 249.315372952331102851531
249.239548326069780159742 249.239548326069780159742 249.239548326069780159742
249.162676931135564473152 249.162676931135564473152 249.162676931135564473152
249.085671295060222973916 249.085671295060222973916 249.085671295060222973916
249.009278241640032547366 249.009278241640032547366 249.009278241640032547366
248.934090984384539524399 248.934090984384539524399 248.934090984384539524399
248.86056586425320347189 248.86056586425320347189 248.86056586425320347189
248.789041048800356747961 248.789041048800356747961 248.789041048800356747961
248.719755308988112574298 248.719755308988112574298 248.719755308988112574298
248.652865676521429350032 248.652865676521429350032 248.652865676521429350032
248.588463317311749278815 248.588463317311749278815 248.588463317311749278815
248.526587337332813376634 248.526587337332813376634 248.526587337332813376634
248.467236488546745931671 248.467236488546745931671 248.467236488546745931671
248.410378894307569908051 248.410378894307569908051 248.410378894307569908051
248.355959993977876365534 248.355959993977876365534 248.355959993977876365534
248.303908938955601115595 248.303908938955601115595 248.303908938955601115595
248.24108920806528999492 248.24108920806528999492 248.24108920806528999492
248.053230925801585726731 248.053230925801585726731 248.053230925801585726731
247.873678277785785439846 247.873678277785785439846 247.873678277785785439846
247.702055456429889090941 247.702055456429889090941 247.702055456429889090941
247.537986731018975206098 247.537986731018975206098 247.537986731018975206098
247.38110165520197369915 247.38110165520197369915 247.38110165520197369915
